Index,Word,Syllables,Phonemes
192,abstained,2,7
193,abstaining,3,8
194,abstaining,3,8
195,abstention,3,9
196,abstention,3,9
197,abstentions,3,10
198,abstentions,3,10
199,abstinence,3,9
200,abstinent,3,9
201,abstract,2,8
202,abstract,2,8
203,abstracted,3,10
204,abstraction,3,10
205,abstractions,3,11
206,abstracts,2,9
207,abstruse,2,7
208,absurd,2,5
209,absurdist,3,8
210,absurdities,4,9
211,absurdity,4,8
212,absurdly,3,7
213,abt,1,3
214,abt,3,5
215,Abu,2,3
216,abundance,3,8
217,abundant,3,8
218,abundantly,4,10
219,abuse,2,5
220,abuse,2,5
221,abused,2,6
222,abuser,3,6
223,abusers,3,7
224,abuses,3,7
225,abuses,3,7
226,abusing,3,7
227,abusive,3,7
228,abut,2,4
229,abuts,2,5
230,abutting,3,6
231,abuzz,2,4
232,abysmal,3,7
233,abysmally,4,8
234,abyss,2,4
235,Abyssinia,4,7
236,Abyssinian,4,8
237,Ac,2,3
238,acacia,3,5
239,academe,3,6
240,academia,5,8
241,academic,4,8
242,academically,5,10
243,academician,5,10
244,academics,4,9
245,academies,4,8
246,Academy,4,7
247,Acadia,4,6
248,Acapulco,4,8
249,accede,2,5
250,acceded,3,7
251,accelerant,4,9
252,accelerate,4,8
253,accelerated,5,10
254,accelerates,4,9
255,accelerating,5,10
256,acceleration,5,10
257,accelerator,5,9
258,accelerators,5,10
259,accent,2,6
260,accent,2,6
261,accented,3,8
262,accents,2,7
263,accentuate,4,9
264,accentuated,5,12
265,accentuates,4,10
266,accentuating,5,12
267,accept,2,6
268,accept,2,6
269,acceptable,4,10
270,acceptable,4,10
271,acceptance,3,9
272,acceptance,3,9
273,acceptances,4,11
274,accepted,3,8
275,accepted,3,8
276,accepting,3,8
277,accepting,3,8
278,accepts,2,7
279,access,2,5
280,accessed,2,6
281,accessibility,6,12
282,accessible,4,9
283,accessing,3,7
284,accession,3,7
285,accessories,4,8
286,accessorize,4,8
287,accessorized,4,9
288,accessory,4,7
289,accident,3,8
290,accidental,4,9
291,accidental,4,10
292,accidentally,5,10
293,accidentally,5,11
294,accidently,4,10
295,accidents,3,9
296,acclaim,2,5
297,acclaimed,2,6
298,acclaims,2,6
299,acclamation,4,9
300,acclimate,3,7
301,acclimated,4,9
302,accolade,3,6
303,accolades,3,7
304,accommodate,4,8
305,accommodated,5,10
306,accommodates,4,9
307,accommodating,5,10
308,accommodation,5,10
309,accommodations,5,11
310,accommodative,5,10
311,accompanied,4,9
312,accompanies,4,9
313,accompaniment,4,11
314,accompaniment,4,11
315,accompanist,4,10
316,accompany,4,8
317,accompanying,5,10
318,accompli,3,7
319,accompli,3,7
320,accomplice,3,8
321,accomplices,4,10
322,accomplish,3,8
323,accomplished,3,9
324,accomplishes,4,10
325,accomplishing,4,10
326,accomplishment,4,12
327,accomplishments,4,13
328,accord,2,5
329,accordance,3,8
330,accorded,3,7
331,According,3,7
332,accordingly,4,9
333,accordion,4,8
334,accordions,4,9
335,accords,2,6
336,accost,2,5
337,accosted,3,7
338,accosting,3,7
339,account,2,5
340,accountability,6,11
341,accountability,6,12
342,accountable,4,8
343,accountable,4,9
344,accountancy,4,9
345,accountant,3,8
346,accountants,3,9
347,accounted,3,6
348,accounted,3,7
349,accounting,3,6
350,accounting,3,7
351,accounts,2,6
352,accoutrement,4,9
353,accoutrements,4,10
354,accreditation,5,11
355,accredited,4,9
356,accrediting,4,9
357,accrual,3,6
358,accrue,2,4
359,accrued,2,5
360,accrues,2,5
361,accruing,3,6
362,accumulate,4,10
363,accumulated,5,12
364,accumulates,4,11
365,accumulating,5,12
366,accumulation,5,12
367,accumulations,5,13
368,accumulative,5,12
369,accumulator,5,11
370,accuracy,4,7
371,accurate,3,6
372,accurately,4,8
373,accusation,4,9
374,accusation,4,9
375,accusations,4,10
376,accusations,4,10
377,accusatory,5,10
378,accuse,2,5
379,accused,2,6
380,accuser,3,6
381,accusers,3,7
382,accuses,3,7
383,accusing,3,7
384,accustom,3,7
385,accustomed,3,8
386,Ace,1,2
387,aced,1,3
388,acerbic,3,7
389,aces,2,4
390,acetaminophen,6,12
391,acetate,3,6
392,acetic,3,6
393,acetic,3,6
394,acetone,3,6
395,Acetylcholine,5,11
396,Acetylcholine,5,11
397,acetylene,4,8
398,ache,1,2
399,ached,1,3
400,aches,1,3
401,achievable,4,8
402,achieve,2,4
403,achieved,2,5
404,achievement,3,8
405,achievements,3,9
406,achiever,3,5
407,Achievers,3,6
408,achieves,2,5
409,achieving,3,6
410,Achilles,3,6
411,aching,2,4
412,achingly,3,6
413,achy,2,3
414,acid,2,4
415,acidic,3,6
416,acidity,4,7
417,acidosis,4,8
418,acids,2,5
419,Ack,1,2
420,Acker,2,3
421,acknowledge,3,7
422,acknowledge,3,7
423,acknowledged,3,8
424,acknowledged,3,8
425,acknowledgement,4,11
426,acknowledgement,4,11
427,acknowledgements,4,12
428,acknowledgements,4,12
429,acknowledges,4,9
430,acknowledges,4,9
431,acknowledging,4,9
432,acknowledging,4,9
433,acknowledgment,4,11
434,acknowledgment,4,11
435,Acme,2,4
436,acne,2,4
437,acolyte,3,6
438,acolytes,3,7
439,acorn,2,5
440,Acorns,2,6
441,acoustic,3,7
442,acoustical,4,9
443,acoustically,4,9
444,acoustics,3,8
445,acquaint,2,6
446,acquaintance,3,9
447,acquaintances,4,11
448,acquaintanceship,4,12
449,acquainted,3,7
450,acquainted,3,8
451,acquiesce,3,6
452,acquiesced,3,7
453,acquiescence,4,9
454,acquiescing,4,8
455,acquire,3,5
456,acquired,3,6
457,acquirer,4,6
458,acquires,3,6
459,acquiring,4,7
460,acquiring,3,7
461,acquisition,4,9
462,acquisitions,4,10
463,acquisitive,4,9
464,acquit,2,5
465,acquittal,3,7
466,acquittals,3,8
467,acquitted,3,7
468,acquitted,3,7
469,acquitting,3,7
470,acre,2,3
471,acreage,3,5
472,acreage,2,5
473,acres,2,4
474,acrid,2,5
475,acrimonious,5,10
476,acrimony,4,8
477,acrobat,3,7
478,acrobatic,4,9
479,acrobatics,4,10
480,acrobats,3,8
481,acronym,3,7
482,acronyms,3,8
483,Acropolis,4,9
484,across,2,5
485,acrylic,3,7
486,acrylics,3,8
487,act,1,3
488,acted,2,5
489,acted,2,5
490,actin,2,5
491,acting,2,5
492,action,2,5
493,actionable,4,9
494,actions,2,6
495,activate,3,7
496,activated,4,9
497,activated,4,9
498,activates,3,8
499,activating,4,9
500,activation,4,9
501,activator,4,8
502,active,2,5
503,actively,3,7
504,actives,2,6
505,activism,4,9
506,activist,3,8
507,activist,3,8
508,activists,3,7
509,activists,3,9
510,activists,3,7
511,activists,3,9
512,activities,4,9
513,activities,4,9
514,activity,4,8
515,activity,4,8
516,Acton,2,5
517,actor,2,4
518,actors,2,5
519,actress,2,6
520,actresses,3,8
521,acts,1,3
522,acts,1,4
523,actual,3,7
524,actual,2,5
525,actuality,5,10
526,actualize,4,9
527,actually,4,8
528,actually,2,5
529,actually,3,6
530,actually,2,5
531,actuarial,5,10
532,actuaries,4,9
533,actuary,4,8
534,actuate,3,7
535,actuator,4,7
536,actuator,4,8
537,actuators,4,8
538,actuators,4,9
539,acuity,4,7
540,acumen,3,7
541,acupuncture,4,10
542,acute,2,5
543,acutely,3,7
544,acuteness,3,8
545,acyclovir,4,9
546,ad,1,2
547,adage,2,4
548,adage,2,4
549,Adagio,4,6
550,Adam,2,4
551,adamant,3,7
552,adamantly,4,9
553,Adams,2,5
554,adapt,2,5
555,adaptability,6,12
556,adaptable,4,9
557,Adaptation,4,9
558,adaptations,4,10
559,adaptations,4,10
560,adapted,3,7
561,adapted,3,7
562,adapter,3,6
563,adapting,3,7
564,adaptive,3,7
565,adaptor,3,6
566,adaptors,3,7
567,adapts,2,6
568,Adar,2,4
569,add,1,2
570,added,2,4
571,added,2,4
572,addendum,3,6
573,addendums,3,7
574,Adder,2,3
575,addict,2,5
576,addict,2,5
577,addicted,3,7
578,addicted,3,7
579,addicting,3,7
580,addiction,3,7
581,addictions,3,8
582,addictive,3,7
583,addicts,2,6
584,addicts,2,6
585,adding,2,4
586,Addis,2,4
587,Addison,3,6
588,Addison,3,6
589,addition,3,6
590,additional,4,8
591,additional,3,7
592,Additionally,5,9
593,Additionally,4,8
594,additions,3,7
595,additive,3,6
596,additive,3,6
597,additives,3,7
598,additives,3,7
599,Addle,2,4
600,addled,2,5
601,address,2,5
602,address,2,5
603,addressed,2,6
604,addressee,3,6
605,addresses,3,7
606,addresses,3,7
607,addressing,3,7
608,adds,1,3
609,Ade,1,2
610,Aden,2,4
611,Adenine,3,6
612,Adenoid,3,6
613,adenoids,3,7
614,adenosine,4,8
615,adept,2,5
616,adequacy,4,8
617,adequate,3,7
618,adequate,3,7
619,adequately,4,9
620,adequately,4,9
621,adhere,2,5
622,adhered,2,6
623,adherence,3,8
624,adherent,3,8
625,adherents,3,9
626,adheres,2,6
627,adhering,3,7
628,adhesion,3,7
629,adhesive,3,7
630,adhesive,3,7
631,adhesives,3,8
632,adhesives,3,8
633,adieu,2,3
634,Adios,3,5
635,adipose,3,6
636,adjacent,3,7
637,adjective,3,7
638,adjectives,3,8
639,adjoining,3,6
640,adjoins,2,5
641,adjourn,2,4
642,adjourned,2,5
643,adjourning,3,6
644,adjournment,3,8
645,adjourns,2,5
646,adjudge,2,4
647,adjudged,2,5
648,adjudicate,4,8
649,adjudicated,5,10
650,adjudicating,5,10
651,adjudication,5,10
652,adjunct,2,6
653,adjust,2,5
654,adjustable,4,9
655,adjusted,3,7
656,adjusted,3,7
657,adjuster,3,6
658,adjusters,3,7
659,adjusting,3,7
660,adjustment,3,9
661,adjustments,3,10
662,adjusts,2,4
663,adjusts,2,6
664,adjutant,3,7
665,administer,4,9
666,administered,4,10
667,administering,5,11
668,administers,4,10
669,administrate,4,11
670,administration,5,13
671,administrations,5,14
672,administrative,5,13
673,administrator,5,12
674,administrators,5,13
675,admirable,4,8
676,admirable,3,8
677,admirably,4,8
678,Admiral,3,6
679,admirals,3,7
680,Admiralty,4,8
681,admiration,4,8
682,admire,2,5
683,admired,3,6
684,admirer,3,6
685,admirers,3,7
686,admires,2,6
687,admiring,3,7
688,admissibility,6,12
689,admissible,4,9
690,admission,3,7
691,admission,3,7
692,admissions,3,8
693,admissions,3,8
694,admit,2,5
695,admits,2,6
696,admittance,3,8
697,admitted,3,7
698,admittedly,4,9
699,admitting,3,7
700,admitting,3,7
701,admonish,3,7
702,admonished,3,8
703,admonishing,4,9
704,admonition,4,9
705,admonitions,4,10
706,ado,2,3
707,Adobe,3,5
708,adolescence,4,9
709,adolescence,4,9
710,adolescent,4,9
711,adolescent,4,9
712,adolescents,4,10
713,adolescents,4,10
714,Adolf,2,5
715,Adolph,2,5
716,Adonis,3,6
717,adopt,2,5
718,adoptable,4,9
719,adopted,3,7
720,adopter,3,6
721,adopting,3,7
722,adoption,3,7
723,adoptions,3,8
724,adoptive,3,7
725,adopts,2,6
726,adorable,4,8
727,adoration,4,7
728,adore,2,4
729,adored,2,5
730,adores,2,5
731,adoring,3,6
732,adorn,2,5
733,adorned,2,6
734,adorning,3,7
735,adornment,3,9
736,adorns,2,6
737,adrenal,3,7
738,adrenalin,4,9
739,adrenaline,4,9
740,Adriatic,4,8
741,adrift,2,6
742,adroit,2,5
743,adroitly,3,7
744,ads,1,3
745,adulation,4,8
746,adult,2,5
747,adult,2,5
748,adulterate,4,8
749,Adulterated,5,10
750,adulterer,4,7
751,adulterers,4,8
752,adulterous,4,8
753,adultery,4,7
754,adulthood,3,8
755,adults,2,6
756,adults,2,6
757,advance,2,6
758,advanced,2,7
759,advancement,3,10
760,advancements,3,11
761,advances,3,8
762,advances,3,8
763,advancing,3,8
764,advantage,3,7
765,advantage,3,8
766,advantage,3,7
767,advantage,3,8
768,advantaged,3,8
769,advantaged,3,9
770,advantaged,3,8
771,advantaged,3,9
772,advantageous,4,10
773,advantages,4,9
774,advantages,4,10
775,advantages,4,9
776,advantages,4,10
777,advent,2,6
778,Adventist,3,9
779,Adventists,3,8
780,Adventists,3,10
781,adventure,3,7
782,adventure,3,7
783,adventurer,4,8
784,adventurer,4,8
785,adventurers,4,9
786,adventurers,4,9
787,adventures,3,8
788,adventures,3,8
789,adventuresome,4,10
790,adventuresome,4,10
791,adventurous,4,9
792,adventurous,4,9
793,adverb,2,5
794,adverbial,4,8
795,adverbs,2,6
796,adversarial,5,10
797,adversaries,4,9
798,adversary,4,8
799,adverse,2,5
800,adverse,2,5
801,adverse,2,5
802,adversely,3,7
803,adversity,4,8
804,adversity,4,8
805,advertise,3,7
806,advertised,3,8
807,advertised,3,8
808,advertisement,4,11
809,advertisement,4,11
810,advertisements,4,12
811,Advertiser,4,8
812,advertisers,4,9
813,advertises,4,9
814,advertising,4,9
815,advice,2,5
816,advice,2,5
817,advisable,4,9
818,advise,2,5
819,advise,2,5
820,advised,2,6
821,advised,2,6
822,advisedly,4,9
823,advisedly,4,9
824,advisement,3,9
825,adviser,3,6
826,advisers,3,7
827,advises,3,7
828,advising,3,7
829,advisor,3,6
830,advisor,3,6
831,advisories,4,8
832,advisors,3,7
833,advisors,3,7
834,advisory,4,7
835,advisory,4,7
836,advocacy,4,8
837,advocate,3,7
838,advocate,3,7
839,advocated,4,9
840,advocated,4,9
841,advocates,3,8
842,advocates,3,8
843,advocating,4,9
844,Ae,1,1
845,Aegean,3,5
846,Aegis,2,4
847,Aeneas,3,5
848,Aer,1,2
849,Aer,3,4
850,aerial,3,5
851,aerials,3,6
852,aerie,2,3
853,aero,2,3
854,aerobatics,4,9
855,aerobic,3,6
856,aerobically,4,8
857,aerobics,3,6
858,aerodromes,3,8
859,aerodynamic,5,10
860,aerodynamically,6,12
861,aerodynamics,5,11
862,Aerodyne,3,6
863,aeronautical,5,10
864,aeronautical,5,10
865,Aeronautics,4,9
866,aerosol,3,6
867,Aerosols,3,7
868,aerospace,3,7
869,Aesop,2,4
870,aesthete,2,5
871,aesthetes,2,6
872,aesthetic,3,7
873,aesthetically,4,9
874,aesthetics,3,8
875,afar,2,4
876,affable,3,6
877,affably,3,6
878,affair,2,4
879,affairs,2,5
880,affect,2,5
881,affectation,4,9
882,affected,3,7
883,affected,3,7
884,affecting,3,7
885,affection,3,7
886,affectionate,4,9
887,affectionate,4,9
888,affectionately,5,11
889,affections,3,8
890,affective,3,7
891,affects,2,6
892,affiant,3,6
893,affidavit,4,8
894,affidavits,4,9
895,affiliate,4,7
896,affiliate,4,7
897,affiliated,5,9
898,affiliated,5,9
899,affiliates,4,8
900,affiliates,4,8
901,affiliation,5,9
902,affiliations,5,10
903,affinity,4,7
904,affinity,4,7
905,affirm,2,4
906,affirmation,4,8
907,affirmations,4,9
908,Affirmative,4,8
909,affirmatively,5,10
910,affirmed,2,5
911,affirming,3,6
912,affirms,2,5
913,affix,2,5
914,affix,2,5
915,affixed,2,6
916,afflict,2,6
917,afflicted,3,8
918,afflicted,3,8
919,afflicting,3,8
920,affliction,3,8
921,afflictions,3,9
922,afflicts,2,7
923,affluence,3,7
924,affluent,3,7
925,afford,2,5
926,affordability,6,12
927,affordable,4,9
928,afforded,3,7
929,affording,3,7
930,affords,2,6
931,affront,2,6
932,affronted,3,8
933,Afghan,2,5
934,Afghani,3,6
935,Afghanis,3,7
936,Afghanistan,4,10
937,Afghans,2,6
938,aficionado,5,10
939,aficionados,5,10
940,afield,2,5
941,afire,2,4
942,aflame,2,5
943,afloat,2,5
944,aflutter,3,6
945,afoot,2,4
946,aforementioned,4,11
947,aforesaid,3,7
948,aforethought,3,7
949,afoul,2,4
950,afraid,2,5
951,afresh,2,5
952,Africa,3,5
953,Africa,3,6
954,Africa,3,6
955,African,3,7
956,African,3,7
957,Africans,3,8
958,Africans,3,8
959,Afrikaans,3,8
960,Afrikaner,4,8
961,Afro,2,4
962,aft,1,3
963,after,2,4
964,afterburner,4,8
965,afterburners,4,9
966,aftereffect,4,9
967,aftereffects,4,10
968,afterglow,3,7
969,afterimage,4,8
970,afterlife,3,7
971,aftermarket,4,10
972,aftermath,3,7
973,aftermaths,3,8
974,afternoon,3,7
975,afternoons,3,8
976,aftershave,3,7
977,aftershaves,3,8
978,aftershock,3,7
979,aftershocks,3,8
980,aftertaste,3,8
981,afterthought,3,7
982,afterthought,3,7
983,afterthoughts,3,8
984,afterthoughts,3,8
985,afterward,3,7
986,afterwards,3,8
987,Ag,1,2
988,Ag,2,3
989,Aga,2,3
990,again,2,4
991,again,2,4
992,against,2,6
993,against,2,6
994,Agamemnon,4,9
995,Agar,2,3
996,agate,2,4
997,agates,2,5
998,age,1,2
999,aged,1,3
1000,aged,2,4
1001,Agee,2,3
1002,ageless,2,5
1003,agencies,3,7
1004,agency,3,6
1005,agenda,3,6
1006,agendas,3,7
1007,Agent,2,5
1008,agents,2,6
1009,Ager,2,3
1010,ageratum,4,8
1011,ages,2,4
1012,ages,2,4
1013,Aggie,2,3
1014,Aggies,2,4
1015,agglutinate,4,9
1016,aggrandize,3,8
1017,aggrandizement,4,12
1018,aggrandizement,4,12
1019,aggrandizing,4,10
1020,aggrandizing,4,10
1021,aggravate,3,7
1022,aggravated,4,9
1023,aggravated,4,9
1024,aggravates,3,8
1025,aggravating,4,9
1026,aggravation,4,9
1027,aggregate,3,7
1028,aggregate,3,7
1029,aggregate,3,7
1030,aggress,2,5
1031,aggression,3,7
1032,aggressions,3,8
1033,aggressive,3,7
1034,aggressively,4,9
1035,aggressiveness,4,10
1036,aggressor,3,6
1037,aggressors,3,7
1038,aggrieved,2,6
1039,aghast,2,5
1040,agile,2,4
1041,agility,4,7
1042,agin,2,4
1043,aging,2,4
1044,agitate,3,6
1045,agitated,4,8
1046,agitating,4,8
1047,agitation,4,8
1048,agitator,4,7
1049,agitators,4,8
1050,agitprop,3,8
1051,aglow,2,4
1052,agnostic,3,8
1053,ago,2,3
1054,agog,2,4
1055,agonies,3,6
1056,agonist,3,7
1057,agonize,3,6
1058,agonized,3,7
1059,agonizing,4,8
1060,agony,3,5
1061,agora,3,4
1062,agoraphobia,6,10
1063,agrarian,4,8
1064,agree,2,4
1065,agreeable,4,8
1066,agreed,2,5
1067,agreeing,3,6
1068,agreement,3,8
1069,agreements,3,9
1070,agrees,2,5
1071,agribusiness,4,10
1072,agricultural,5,11
1073,agricultural,5,11
1074,agriculturalist,6,14
1075,Agriculture,4,9
1076,aground,2,6
1077,Agua,2,4
1078,aguacate,3,7
1079,Ah,1,1
1080,Aha,2,3
1081,Ahab,2,4
1082,ahead,2,4
1083,Aho,2,3
1084,ahold,2,5
1085,Ahoy,2,3
1086,ahs,1,2
1087,Ai,1,1
1088,Ai,2,2
1089,aid,1,2
1090,aide,1,2
1091,aided,2,4
1092,aided,2,4
1093,aides,1,3
1094,aiding,2,4
1095,aids,1,3
1096,ail,1,2
1097,aileron,3,5
1098,ailerons,3,6
1099,ailing,2,4
1100,ailment,2,6
1101,ailments,2,7
1102,ails,1,3
1103,aim,1,2
1104,aimed,1,3
1105,aiming,2,4
1106,aimless,2,5
1107,aimlessly,3,7
1108,aims,1,3
1109,air,1,2
1110,airbag,2,5
1111,airbags,2,6
1112,airbase,2,5
1113,airboat,2,5
1114,airborne,2,6
1115,aircraft,2,7
1116,aircrafts,2,7
1117,aircrafts,2,8
1118,Aircrew,2,5
1119,airdrop,2,6
1120,aired,1,3
1121,Airedale,2,5
1122,Airedales,2,6
1123,airfare,2,5
1124,airfares,2,6
1125,airfield,2,6
1126,airfields,2,7
1127,airflow,2,5
1128,airfoil,2,5
1129,airhead,2,5
1130,airing,2,4
1131,airless,2,5
1132,airlift,2,6
1133,airlifted,3,8
1134,airlifting,3,8
1135,Airlifts,2,7
1136,airline,2,5
1137,airliner,3,6
1138,airliners,3,7
1139,Airlines,2,6
1140,airlock,2,5
1141,airlocks,2,6
1142,airmail,2,5
1143,Airman,2,5
1144,airmen,2,5
1145,airplane,2,6
1146,airplanes,2,7
1147,airport,2,6
1148,airports,2,7
1149,airs,1,3
1150,airship,2,5
1151,airships,2,6
1152,airspace,2,6
1153,airspeed,2,6
1154,airstrike,2,7
1155,airstrikes,2,8
1156,airstrip,2,7
1157,airstrips,2,8
1158,airtight,2,5
1159,airtime,2,5
1160,airwave,2,5
1161,airwaves,2,6
1162,airway,2,4
1163,Airways,2,5
1164,airworthy,3,6
1165,airy,2,3
1166,ais,1,2
1167,aisle,2,3
1168,aisle,1,2
1169,aisles,2,4
1170,aisles,1,3
1171,ajar,2,4
1172,Ajax,2,5
1173,aka,2,3
1174,aka,3,4
1175,ake,1,2
1176,akey,2,3
1177,akimbo,3,6
1178,akin,2,4
1179,akin,2,4
1180,Akkadian,4,7
1181,Akron,2,5
1182,Al,1,2
1183,ala,2,3
1184,Alabama,4,7
1185,alabaster,4,8
1186,alacrity,4,8
1187,Aladdin,3,6
1188,alai,2,3
1189,Alameda,4,7
1190,Alamo,3,5
1191,Alamos,3,6
1192,Alan,2,4
1193,Alar,2,4
1194,alarm,2,5
1195,alarmed,2,6
1196,alarming,3,7
1197,alarmingly,4,9
1198,alarmist,3,8
1199,alarmist,3,8
1200,alarms,2,6
1201,Alas,2,4
1202,Alaska,3,6
1203,Alaskan,3,7
1204,Alaskans,3,8
1205,Alba,2,4
1206,albacore,3,7
1207,Alban,2,5
1208,Albania,4,7
1209,Albanian,4,8
1210,Albanians,4,9
1211,Albany,3,6
1212,albatross,3,8
1213,Albatrosses,4,10
1214,Albee,2,4
1215,albeit,3,6
1216,Albert,2,5
1217,Alberta,3,6
1218,albino,3,6
1219,Albion,3,6
1220,album,2,5
1221,albumin,3,8
1222,albums,2,6
1223,Albuquerque,4,8
1224,Albus,2,5
1225,Alcazar,3,7
1226,alchemically,4,9
1227,alchemist,3,8
1228,alchemist,3,8
1229,alchemy,3,6
1230,alcohol,3,7
1231,alcoholic,4,9
1232,alcoholics,4,10
1233,alcoholism,5,11
1234,alcove,2,5
1235,alcoves,2,6
1236,Aldebaran,4,8
1237,Alden,2,5
1238,Alder,2,4
1239,Alderman,3,7
1240,Alderman,3,7
1241,aldermen,3,7
1242,Aldrin,2,6
1243,ale,1,2
1244,Alec,2,4
1245,alehouse,2,5
1246,Alem,2,4
1247,Aleph,2,4
1248,alert,2,4
1249,alerted,3,6
1250,alerting,3,6
1251,alertly,3,6
1252,alertness,3,7
1253,alerts,2,5
1254,ales,1,3
1255,Aleutian,3,6
1256,Aleutians,3,7
1257,Alexander,4,9
1258,Alexander,4,9
1259,Alexanders,4,10
1260,Alexandria,5,11
1261,Alexandrine,4,11
1262,Alexia,4,7
1263,Alf,1,3
1264,Alfa,2,4
1265,alfalfa,3,7
1266,Alfonso,3,7
1267,Alfred,2,6
1268,Alfred,2,6
1269,algae,2,4
1270,algebra,3,7
1271,algebraic,4,9
1272,Algeria,4,7
1273,Algerian,4,8
1274,Algerians,4,9
1275,Algiers,2,6
1276,Algonquin,3,9
1277,algorithm,4,8
1278,algorithms,4,9
1279,Alhambra,3,8
1280,alias,3,5
1281,aliases,4,7
1282,alibi,3,5
1283,alibis,3,6
1284,Alice,2,4
1285,Alice,2,4
1286,alien,3,5
1287,alienate,3,7
1288,alienated,5,9
1289,alienated,5,9
1290,alienating,5,9
1291,alienation,5,9
1292,aliens,3,6
1293,alight,2,4
1294,align,2,4
1295,aligned,2,5
1296,aligning,3,6
1297,alignment,3,8
1298,alignments,3,9
1299,aligns,2,5
1300,alike,2,4
1301,alimentary,5,9
1302,alimony,4,7
1303,Aline,2,4
1304,Alison,3,6
1305,alive,2,4
1306,Aliyah,3,4
1307,alkali,3,6
1308,alkaline,3,7
1309,alkaloid,3,7
1310,alkaloids,3,8
1311,all,1,2
1312,Allah,2,3
1313,Allan,2,4
1314,allay,2,3
1315,allayed,2,4
1316,allaying,3,5
1317,allays,2,4
1318,allegation,4,8
1319,allegations,4,9
